Parameter Value Listing:
 No   Type     Value
0132  Long               0
0133  Long               0
0134  Long               0
0135  Long               0
0136  Long               0
0137  Long               0
0138  Long               0
0139  Long               1
0140  Long               1
0141  Long               0
0142  Long               0
0143  Long               0
0144  Long               0
0145  Long               0
0146  Long               6
0147  Long               0
0148  Long               0
0149  Long            7000
0150  Long             200
0151  Long               0
0152  Long               3
0153  Long               0
0154  Long               0
0155  Long               1
0156  Long               0
0157  Long               0
0158  Long               0
0159  Long               0
0160  Long               0
0161  Long              36
0162  Long              55
0163  Long              56
0164  Long              37
0165  Long              58
0166  Long              36
0167  Long               0
0168  Long               0
0169  Long               0
0170  Long               0
0171  Long               0
0172  Long               0
0173  Long               0
0174  Long               0
0175  Long               1
0176  Long               1
0177  Long               0
0178  Long               1
0179  Long               1
0180  Long               0
0181  Long               1
0182  Long               1
0183  Long               0
0184  Long               9
0185  Long              44
0186  Long               0
0187  Long               5
0188  Long               0
0189  Long           10000
0190  Long               0
0191  Long               0
0192  Long               0
0193  Long               0
0194  Long               0
0195  Long               3
0196  Long               0
0197  Long               0
0198  Long               0
0199  Long               0
0200  Long               0
0201  Long               0
0202  Long               2
0203  Long               0
0204  Long               0
0205  Long               0
0206  Long               0
0207  Long               0
0208  Long               0
0209  Long               0
0210  Long               0
0211  Long             200
0212  Long             201
0213  Long             202
0214  Long             203
0215  Long             204
0216  Long             205
0217  Long             206
0218  Long             207
0219  Long             208
0220  Long             209
0221  Long             600
0222  Long               0
0223  Long               0
0224  Long               0
0225  Long               0
0226  Long               0
0227  Long               0
0228  Long               0
0229  Long               0
0230  Long               0
0231  Long               0
0232  Long               0
0233  Long               0
0234  Long               0
0235  Long               0
0236  Long               0
0237  Long               0
0238  Long               0
0239  Long               0
0240  Long              30
0241  Long              30
0242  Long               0
0243  Long               0
0244  Long               0
0245  Long               0
0246  Long               0
0247  Long               0
0248  Long               0
0249  Long               0
0250  Long            9500
0251  Long            2500
0252  Long               0
0253  Long               0
0254  Long             230
0255  Long             230
0256  Long               5
0257  Long               6
0258  Long               4
0259  Long               4
0260  Long               0
0261  Long               1
0262  Long             200
0263  Long             200
0264  Long               0
0265  Long               0
0266  Long               0
0267  Long               0
0268  Long              50
0269  Long              50
0270  Long               1
0271  Long               1
0272  Long             100
0273  Long               1
0274  Long             360
0275  Long           10000
0276  Long               7
0277  Long               7
0278  Long               0
0279  Long               0
0280  Long              18
0281  Long              20
0282  Long            5903
0283  Long          -16500
0284  Long             100
0285  Long             100
0286  Long               1
0287  Long               1
0288  Long               2
0289  Long               4
0290  Long               0
0291  Long               1
0292  Long               0
0293  Long               0
0294  Long               0
0295  Long               0
0296  Long               0
0297  Long               0
0298  Long              50
0299  Long              10
0300  Long               8
0301  Long               4
0302  Long               2
0303  Long               3
0304  Long               1
0305  Long              -3
0306  Long               0
0307  Long              -1
0308  Long               1
0309  Long               4
0310  Long               3
0311  Long               1
0312  Long               0
0313  Long               0
0314  Long               0
0315  Long               0
0316  Long               0
0317  Long               0
0318  Long               0
0319  Long               0
0320  Long               0
0321  Long               0
0322  Long               0
0323  Long               0
0324  Long               0
0325  Long               0
0326  Long               0
0327  Long               0
0328  Long               0
0329  Long               0
0330  Long               0
0331  Long               0
0332  Long               0
0333  Long               0
0334  Long               0
0335  Long               0
0336  Long               0
0337  Long               0
0338  Long               0
0339  Long               0
0340  Long               0
0341  Long               0
0342  Long               0
0343  Long               0
0344  Long               0
0345  Long               0
0346  Long               0
0347  Long               0
0348  Long               0
0349  Long               0
0350  Long               0
0351  Long               0
0352  Long               0
0353  Long               0
0354  Long               0
0355  Long               0
0356  Long               0
0357  Long               0
0358  Long               0
0359  Long            1000
0360  Long               0
0361  Long               0
0362  Long               0
0363  Long               0
0364  Long               0
0365  Long               0
0366  Long               0
0367  Long               0
0368  Long               0
0369  Long               0
0370  Long               0
0371  Long               0
0372  Long               0
0373  Long               0
0374  Long               0
0375  Long               0
0376  Long               0
0377  Long               0
0378  Long               0
0379  Long               0
0380  Long               0
0381  Long               0
0382  Long               0
0383  Long               0
0384  Long               0
0385  Long               0
0386  Long               0
0387  Long               0
0388  Long               0
0389  Long               0
0390  Long               0
0391  Long               0
0392  Long               0
0393  Long               0
0394  Long            9999
0395  Long               1
0396  Long               0
0397  Long               0
0398  Long             230
0399  Long             100
0400  Long              60
0401  Long              20
0402  Long               0
0403  Long              60
0404  Long         2000000
0405  Long          500000
0406  Long               0
0407  Long               0
0408  Long              10
0409  Long               5
0410  Long          800000
0411  Long          800000
0412  Long          800000
0413  Long          800000
0414  Long          800000
0415  Long          800000
0416  Long              50
0417  Long              50
0418  Long              50
0419  Long              50
0420  Long             100
0421  Long            8500
0422  Long              13
0423  Long              13
0424  Long              13
0425  Long              13
0426  Long              13
0427  Long              13
0428  Long               0
0429  Long               2
0430  Long          100000
0431  Long               0
0432  Long               0
0433  Long               0
0434  Long               0
0435  Long               0
0436  Long               0
0437  Long              10
0438  Long              10
0439  Long              10
0440  Long              10
0441  Long              10
0442  Long              10
0443  Long               0
0444  Long               0
0445  Long               0
0446  Long               0
0447  Long               0
0448  Long               0
0449  Long               0
0450  Long               0
0451  Long               0
0452  Long               0
0453  Long               0
0454  Long               0
0455  Long               0
0456  Long               0
0457  Long               0
0458  Long               0
0459  Long               0
0460  Long               0
0461  Long               0
0462  Long               0
0463  Long               0
0464  Long               0
0465  Long               0
0466  Long               0
0467  Long               0
0468  Long               0
0469  Long               0
0470  Long               0
0471  Long               0
0472  Long               0
0473  Long               0
0474  Long               0
0475  Long               0
0476  Long               0
0477  Long               0
0478  Long               0
0479  Long               0
0480  Long               0
0481  Long               0
0482  Long               0
0483  Long               0
0484  Long               0
0485  Long               0
0486  Long               0
0487  Long               0
0488  Long               0
0489  Long               0
0490  Long               0
0491  Long               0
0492  Long               0
0493  Long               0
0494  Long               0
0495  Long               0
0496  Long               0
0497  Long               0
0498  Long               0
0499  Long               0
0500  Long               0
0501  Long               0
0502  Long               0
0503  Long               0
0504  Long               0
0505  Long               0
0506  Long               0
0507  Long               0
0508  Long               0
0509  Long               0
0510  Long               0
0511  Long               0
0512  Long               0
0513  Long               0
0514  Long               0
0515  Long               0
0516  Long               0
0517  Long               0
0518  Long               0
0519  Long               0
0520  Long               0
0521  Long               0
0522  Long               0
0523  Long               0
0524  Long               0
0525  Long               0
0526  Long               0
0527  Long               0
0528  Long               0
0529  Long               0
0530  Long               0
0531  Long               0
0532  Long               0
0533  Long               0
0534  Long               0
0535  Long               0
0536  Long               0
0537  Long               0
0538  Long               0
0539  Long               0
0540  Long               0
0541  Long               0
0542  Long               0
0543  Long               0
0544  Long               0
0545  Long               0
0546  Long               0
0547  Long               0
0548  Long               0
0549  Long               0
0550  Long         7500000
0551  Long         7500000
0552  Long         7500000
0553  Long         5400000
0554  Long         5400000
0555  Long        15000000
0556  Long               0
0557  Long               0
0558  Long               0
0559  Long               0
0560  Long               0
0561  Long               0
0562  Long               0
0563  Long            1000
0564  Long            1000
0565  Long            1000
0566  Long            1000
0567  Long            1000
0568  Long            1000
0569  Long               0
0570  Long               0
0571  Long               0
0572  Long               0
0573  Long               0
0574  Long               0
0575  Long               0
0576  Long               0
0577  Long               0
0578  Long               0
0579  Long               0
0580  Long               0
0581  Long               0
0582  Long               0
0583  Long               0
0584  Long               0
0585  Long               0
0586  Long               0
0587  Long               0
0588  Long               0
0589  Long               0
0590  Long               0
0591  Long               0
0592  Long               0
0593  Long               0
0594  Long               0
0595  Long               0
0596  Long               0
0597  Long               0
0598  Long               0
0599  Long               0
0600  Long               1
0601  Long               1
0602  Long               3
0603  Long               4
0604  Long               3
0605  Long               2
0606  Long               2
0607  Long               2
0608  Long               2
0609  Long               3
0610  Long               2
0611  Long               0
0612  Long               0
0613  Long               0
0614  Long               0
0615  Long               0
0616  Long               0
0617  Long               0
0618  Long               0
0619  Long               0
0620  Long               0
0621  Long               0
0622  Long               0
0623  Long               0
0624  Long               0
0625  Long               0
0626  Long               0
0627  Long               0
0628  Long               0
0629  Long               0
0630  Long               0
0631  Long               0
0632  Long               0
0633  Long               0
0634  Long               0
0635  Long               0
0636  Long               0
0637  Long               0
0638  Long               0
0639  Long               0
0640  Long               0
0641  Long               0
0642  Long               0
0643  Long               0
0644  Long               0
0645  Long               0
0646  Long               0
0647  Long               0
0648  Long               0
0649  Long               0
0650  Long               1
0651  Long               1
0652  Long               2
0653  Long               0
0654  Long               2
0655  Long              30
0656  Long            1000
0657  Long               0
0658  Long               0
0659  Long             512
0660  Long               0
0661  Long               0
0662  Long               0
0663  Long             100
0664  Long               1
0665  Long               1
0666  Long               1
0667  Long               1
0668  Long               1
0669  Long               1
0670  Long               1
0671  Long               1
0672  Long               1
0673  Long               1
0674  Long               1
0675  Long               1
0676  Long               1
0677  Long               1
0678  Long               1
0679  Long               1
0680  Long               1
0681  Long               4
0682  Long            6000
0683  Long           10000
0684  Long               0
0685  Long               1
0686  Long               0
0687  Long               0
0688  Long               0
0689  Long               2
0690  Long               2
0691  Long               6
0692  Long               0
0693  Long               0
0694  Long               0
0695  Long               0
0696  Long               0
0697  Long               0
0698  Long               0
0699  Long               0
0700  Long              70
0701  Long               8
0702  Long               4
0703  Long              30
0704  Long          400000
0705  Long          200000
0706  Long               0
0707  Long              50
0708  Long               0
0709  Long               0
0710  Long          300000
0711  Long          300000
0712  Long          300000
0713  Long          300000
0714  Long          300000
0715  Long          300000
0716  Long               0
0717  Long               0
0718  Long               0
0719  Long               0
0720  Long               0
0721  Long               0
0722  Long               0
0723  Long               0
0724  Long               0
0725  Long               0
0726  Long             200
0727  Long               0
0728  Long               0
0729  Long               0
0730  Long          100000
0731  Long              95
0732  Long              95
0733  Long              95
0734  Long              95
0735  Long              95
0736  Long              95
0737  Long               0
0738  Long               0
0739  Long               0
0740  Long               0
0741  Long               0
0742  Long               0
0743  Long               0
0744  Long               0
0745  Long               0
0746  Long               0
0747  Long               0
0748  Long               0
0749  Long               0
0750  Long               0
0751  Long               0
0752  Long               0
0753  Long               0
0754  Long               0
0755  Long               0
0756  Long               0
0757  Long               0
0758  Long               0
0759  Long               0
0760  Long               0
0761  Long               0
0762  Long               0
0763  Long               0
0764  Long               0
0765  Long               0
0766  Long               0
0767  Long               0
0768  Long               0
0769  Long               0
0770  Long               0
0771  Long               0
0772  Long               0
0773  Long               0
0774  Long               0
0775  Long               0
0776  Long               0
0777  Long               0
0778  Long               0
0779  Long               0
0780  Long               0
0781  Long               0
0782  Long               0
0783  Long               0
0784  Long               0
0785  Long               0
0786  Long               0
0787  Long               0
0788  Long               0
0789  Long               0
0790  Long               0
0791  Long               0
0792  Long               0
0793  Long               0
0794  Long               0
0795  Long               0
0796  Long               0
0797  Long               0
0798  Long               0
0799  Long               0
0800  Long              50
0801  Long              50
0802  Long              50
0803  Long              50
0804  Long               0
0805  Long               0
0806  Long              10
0807  Long              20
0808  Long               0
0809  Long               0
0810  Long               0
0811  Long               0
0812  Long               0
0813  Long               0
0814  Long               0
0815  Long               0
0816  Long               0
0817  Long               0
0818  Long               0
0819  Long               0
0820  Long               0
0821  Long               0
0822  Long               0
0823  Long               0
0824  Long               0
0825  Long               0
0826  Long               0
0827  Long               0
0828  Long               0
0829  Long               0
0830  Long               0
0831  Long               0
0832  Long               0
0833  Long               0
0834  Long               5
0835  Long               0
0836  Long               0
0837  Long               0
0838  Long               0
0839  Long            1000
0840  Long               0
0841  Long               0
0842  Long               0
0843  Long               0
0844  Long               0
0845  Long               0
0846  Long               0
0847  Long               0
0848  Long               0
0849  Long               0
0850  Long               0
0851  Long               0
0852  Long               0
0853  Long               0
0854  Long               0
0855  Long               0
0856  Long               0
0857  Long               0
0858  Long               0
0859  Long               0
0860  Long               0
0861  Long               0
0862  Long               0
0863  Long               0
0864  Long               0
0865  Long               0
0866  Long               0
0867  Long               0
0868  Long               0
0869  Long               0
0870  Long               0
0871  Long               0
0872  Long               0
0873  Long               0
0874  Long               1
0875  Long               0
0876  Long            6000
0877  Long               0
0878  Long               0
0879  Long            6000
0880  Long               0
0881  Long              50
0882  Long              10
0883  Long            6000
0884  Long               0
0885  Long            1000
0886  Long            6000
0887  Long               0
0888  Long            1000
0889  Long            1024
0890  Long               1
0891  Long               0
0892  Long               0
0893  Long            1024
0894  Long               1
0895  Long               0
0896  Long               0
0897  Long               1
0898  Long               1
0899  Long               0
0900  Long               6
0901  Long               6
0902  Long               6
0903  Long               6
0904  Long               6
0905  Long               6
0906  Long               6
0907  Long               6
0908  Long               6
0909  Long              10
0910  Long              10
0911  Long              10
0912  Long              10
0913  Long              10
0914  Long              10
0915  Long              10
0916  Long              10
0917  Long              10
0918  Long               0
0919  Long               0
0920  Long               0
0921  Long               0
0922  Long               0
0923  Long               0
0924  Long               0
0925  Long               0
0926  Long               0
0927  Long               0
0928  Long               0
0929  Long               0
0930  Long               0
0931  Long               0
0932  Long               0
0933  Long               0
0934  Long               0
0935  Long               0
0936  Long               0
0937  Long               0
0938  Long               0
0939  Long               0
0940  Long               0
0941  Long               0
0942  Long               0
0943  Long               0
0944  Long               0
0945  Long               0
0946  Long               0
0947  Long               0
0948  Long               0
0949  Long               0
0950  Long               0
0951  Long               0
0952  Long               0
0953  Long               0
0954  Long               0
0955  Long               0
0956  Long               0
0957  Long               0
0958  Long               0
0959  Long               0
0960  Long               0
0961  Long               0
0962  Long               0
0963  Long               0
0964  Long               0
0965  Long               0
0966  Long               0
0967  Long               0
0968  Long               0
0969  Long               0
0970  Long               0
0971  Long               0
0972  Long               0
0973  Long               0
0974  Long               0
0975  Long               0
0976  Long               0
0977  Long               0
0978  Long               0
0979  Long               0
0980  Long               0
0981  Long               0
0982  Long               0
0983  Long               0
0984  Long               0
0985  Long               0
0986  Long               0
0987  Long               0
0988  Long               0
0989  Long               0
0990  Long               0
0991  Long               0
0992  Long               0
0993  Long               0
0994  Long               0
0995  Long               0
0996  Long               0
0997  Long               0
0998  Long               0
0999  Long               0
1000  Long        15000000
1001  Long        15000000
1002  Long        15000000
1003  Long        10800000
1004  Long        10000000
1005  Long               0
1006  Long          130600
1007  Long         -139100
1008  Long          132200
1009  Long           -7000
1010  Long            2000
1011  Long         -125000
1012  Long        99999999
1013  Long       -99999999
1014  Long               0
1015  Long               0
1016  Long               0
1017  Long               0
1018  Long           20000
1019  Long           10000
1020  Long           10000
1021  Long           10000
1022  Long               0
1023  Long               0
1024  Long         -124900
1025  Long               0
1026  Long               0
1027  Long               0
1028  Long         -124300
1029  Long               0
1030  Long               0
1031  Long               0
1032  Long               0
1033  Long               0
1034  Long        99999999
1035  Long       -99999999
1036  Long        99999999
1037  Long       -99999999
1038  Long        99999999
1039  Long       -99999999
1040  Long        99999999
1041  Long       -99999999
1042  Long            2000
1043  Long               0
1044  Long               0
1045  Long               0
1046  Long          125000
1047  Long           -5000
1048  Long               0
1049  Long               0
1050  Long               0
1051  Long               0
1052  Long               0
1053  Long               0
1054  Long              50
1055  Long               0
1056  Long               0
1057  Long               0
1058  Long            3000
1059  Long             500
1060  Long             100
1061  Long        10000000
1062  Long               0
1063  Long              10
1064  Long               0
1065  Long               0
1066  Long               0
1067  Long               0
1068  Long               0
1069  Long               0
1070  Long               0
1071  Long               0
1072  Long              20
1073  Long               0
1074  Long               0
1075  Long            4096
1076  Long             200
1077  Long             200
1078  Long               0
1079  Long               0
1080  Long               0
1081  Long               0
1082  Long               0
1083  Long               0
1084  Long               0
1085  Long               0
1086  Long               0
1087  Long               0
1088  Long               0
1089  Long               0
1090  Long               0
1091  Long               0
1092  Long               1
1093  Long               1
1094  Long               1
1095  Long               0
1096  Long           55000
1097  Long           55000
1098  Long              30
1099  Long               0
1100  Long         5000000
1101  Long         5000000
1102  Long         5000000
1103  Long         3600000
1104  Long         1000000
1105  Long          500000
1106  Long          500000
1107  Long          540000
1108  Long          200000
1109  Long          200000
1110  Long          200000
1111  Long          108000
1112  Long            1250
1113  Long            1250
1114  Long            1250
1115  Long             900
1116  Long            1024
1117  Long               0
1118  Long               0
1119  Long            2000
1120  Long            2500
1121  Long             200
1122  Long        10800000
1123  Long        30000000
1124  Long         3600000
1125  Long        10000000
1126  Long           10000
1127  Long           30000
1128  Long          -90000
1129  Long               0
1130  Long               0
1131  Long               0
1132  Long               0
1133  Long               0
1134  Long               0
1135  Long               0
1136  Long               0
1137  Long               0
1138  Long          540000
1139  Long          500000
1140  Long          108000
1141  Long          200000
1142  Long          110000
1143  Long         -100000
1144  Long          397000
1145  Long           -1000
1146  Long        99999999
1147  Long       -99999999
1148  Long        99999999
1149  Long       -99999999
1150  Long               0
1151  Long               0
1152  Long               0
1153  Long             100
1154  Long              50
1155  Long            1000
1156  Long            2000
1157  Long            3000
1158  Long               1
1159  Long              30
1160  Long               0
1161  Long               1
1162  Long               1
1163  Long               1
1164  Long               0
1165  Long               0
1166  Long               0
1167  Long               0
1168  Long               0
1169  Long               0
1170  Long               0
1171  Long           20000
1172  Long           20020
1173  Long           20000
1174  Long           20020
1175  Long           20000
1176  Long           20020
1177  Long           20000
1178  Long           20020
1179  Long           20000
1180  Long           20020
1181  Long           20000
1182  Long           20020
1183  Long               0
1184  Long               0
1185  Long               0
1186  Long               0
1187  Long               0
1188  Long               0
1189  Long               0
1190  Long               0
1191  Long               0
1192  Long       162801181
1193  Long               0
1194  Long               0
1195  Long               0
1196  Long               0
1197  Long               0
1198  Long               0
1199  Long               0
1200  Long               0
1201  Long               0
1202  Long               0
1203  Long               0
1204  Long               0
1205  Long               0
1206  Long               0
1207  Long               0
1208  Long               0
1209  Long               0
1210  Long               0
1211  Long               0
1212  Long               0
1213  Long               0
1214  Long               0
1215  Long               0
1216  Long               0
1217  Long               0
1218  Long               0
1219  Long               0
1220  Long               0
1221  Long               0
1222  Long               0
1223  Long               0
1224  Long               0
1225  Long               0
1226  Long               0
1227  Long               0
1228  Long               0
1229  Long               0
1230  Long               0
1231  Long               0
1232  Long               0
1233  Long               0
1234  Long               0
1235  Long               0
1236  Long               0
1237  Long               0
1238  Long               0
1239  Long               0
1240  Long               0
1241  Long               0
1242  Long               0
1243  Long               0
1244  Long               0
1245  Long               0
1246  Long               0
1247  Long               0
1248  Long               0
1249  Long               0
1250  Long               0
1251  Long               0
1252  Long               0
1253  Long               0
1254  Long               0
1255  Long               0
1256  Long               0
1257  Long               0
1258  Long               0
1259  Long               0
1260  Long               0
1261  Long               0
1262  Long               0
1263  Long               0
1264  Long               0
1265  Long               0
1266  Long               0
1267  Long               0
1268  Long               0
1269  Long               0
1270  Long               0
1271  Long               0
1272  Long               0
1273  Long               0
1274  Long               0
1275  Long               0
1276  Long               0
1277  Long               0
1278  Long               0
1279  Long               0
1280  Long               0
1281  Long               0
1282  Long               0
1283  Long               0
1284  Long               0
1285  Long               0
1286  Long               0
1287  Long               0
1288  Long               0
1289  Long               0
1290  Long               0
1291  Long               0
1292  Long               0
1293  Long               0
1294  Long               0
1295  Long               0
1296  Long               0
1297  Long               0
1298  Long               0
1299  Long               0
1300  Long               0
1301  Long               0
1302  Long               0
1303  Long               0
1304  Long               0
1305  Long               0
1306  Long               0
1307  Long               0
1308  Long               0
1309  Long               0
1310  Long               0
1311  Long               0
1312  Long               0
1313  Long               0
1314  Long               0
1315  Long               0
1316  Long               0
1317  Long               0
1318  Long               0
1319  Long               0
1320  Long               0
1321  Long               0
1322  Long               0
1323  Long               0
1324  Long               0
1325  Long               0
1326  Long               0
1327  Long               0
1328  Long               0
1329  Long               0
1330  Long               0
1331  Long               0
1332  Long               0
1333  Long               0
1334  Long               0
1335  Long               0
1336  Long               0
1337  Long               0
1338  Long               0
1339  Long               0
1340  Long               0
1341  Long               0
1342  Long               0
1343  Long               0
1344  Long               0
1345  Long               0
1346  Long               0
1347  Long               0
1348  Long               0
1349  Long               0
1350  Long               0
1351  Long               0
1352  Long               0
1353  Long               0
1354  Long               0
1355  Long               0
1356  Long               0
1357  Long               0
1358  Long               0
1359  Long               0
1360  Long               0
1361  Long               0
1362  Long               0
1363  Long               0
1364  Long               0
1365  Long               0
1366  Long               0
1367  Long               0
1368  Long               0
1369  Long               0
1370  Long               0
1371  Long               0
1372  Long               0
1373  Long               0
1374  Long               0
1375  Long               0
1376  Long               0
1377  Long               0
1378  Long               0
1379  Long               0
1380  Long               0
1381  Long               0
1382  Long               0
1383  Long               0
1384  Long               0
1385  Long               0
1386  Long               0
1387  Long               0
1388  Long               0
1389  Long               0
1390  Long               0
1391  Long               0
1392  Long               0
1393  Long               0
1394  Long               0
1395  Long               0
1396  Long               0
1397  Long               0
1398  Long               0
1399  Long               0
1400  Long               0
1401  Long               0
1402  Long               0
1403  Long               0
1404  Long               0
1405  Long               0
1406  Long               0
1407  Long               0
1408  Long               0
1409  Long               0
1410  Long               0
1411  Long               0
1412  Long               0
1413  Long               0
1414  Long               0
1415  Long               0
1416  Long               0
1417  Long               0
1418  Long               0
1419  Long               0
1420  Long               0
1421  Long               0
1422  Long               0
1423  Long               0
1424  Long               0
1425  Long               0
1426  Long               0
1427  Long               0
1428  Long               0
1429  Long               0
1430  Long               0
1431  Long               0
1432  Long               0
1433  Long               0
1434  Long               0
1435  Long               0
1436  Long               0
1437  Long               0
1438  Long               0
1439  Long               0
1440  Long               0
1441  Long               0
1442  Long               0
1443  Long               0
1444  Long               0
1445  Long               0
1446  Long               0
1447  Long               0
1448  Long               0
1449  Long               0
1450  Long               0
1451  Long               0
1452  Long               0
1453  Long               0
1454  Long               0
1455  Long               0
1456  Long               0
1457  Long               0
1458  Long               0
1459  Long               0
1460  Long               0
1461  Long               0
1462  Long               0
1463  Long               0
1464  Long               0
1465  Long               0
1466  Long               0
1467  Long               0
1468  Long               0
1469  Long               0
1470  Long               0
1471  Long               0
1472  Long               0
1473  Long               0
1474  Long               0
1475  Long               0
1476  Long               0
1477  Long               0
1478  Long               0
1479  Long               0
1480  Long               0
1481  Long               0
1482  Long               0
1483  Long               0
1484  Long               0
1485  Long               0
1486  Long               0
1487  Long               0
1488  Long               0
1489  Long               0
1490  Long               0
1491  Long               0
1492  Long               0
1493  Long               0
1494  Long               0
1495  Long               0
1496  Long               0
1497  Long               0
1498  Long               0
1499  Long               0
1500  Long               0
1501  Long               0
1502  Long               0
1503  Long               0
1504  Long               0
1505  Long               0
1506  Long               0
1507  Long               0
1508  Long               0
1509  Long               0
1510  Long               0
1511  Long               0
1512  Long               0
1513  Long               0
1514  Long               0
1515  Long               0
1516  Long               0
1517  Long               0
1518  Long               0
1519  Long               0
1520  Long               0
1521  Long               0
1522  Long               0
1523  Long               0
1524  Long               0
1525  Long               0
1526  Long               0
1527  Long               0
1528  Long               0
1529  Long               0
1530  Long               0
1531  Long               0
1532  Long               0
1533  Long               0
1534  Long               0
1535  Long               0
1536  Long               0
1537  Long               0
1538  Long               0
1539  Long               0
1540  Long               0
1541  Long               0
1542  Long               0
1543  Long               0
1544  Long               0
1545  Long               0
1546  Long               0
1547  Long               0
1548  Long               0
1549  Long               0
1550  Long               0
1551  Long               0
1552  Long               0
1553  Long               0
1554  Long               0
1555  Long               0
1556  Long               0
1557  Long               0
1558  Long               0
1559  Long               0
1560  Long               0
1561  Long               0
1562  Long               0
1563  Long               0
1564  Long               0
1565  Long               0
1566  Long               0
1567  Long               0
1568  Long               0
1569  Long               0
1570  Long               0
1571  Long               0
1572  Long               0
1573  Long               0
1574  Long               0
1575  Long               0
1576  Long               0
1577  Long               0
1578  Long               0
1579  Long               0
1580  Long               0
1581  Long               0
1582  Long               0
1583  Long               0
1584  Long               0
1585  Long               0
1586  Long               0
1587  Long               0
1588  Long               0
1589  Long               0
1590  Long               0
1591  Long               0
1592  Long               0
1593  Long               0
1594  Long               0
1595  Long               0
1596  Long               0
1597  Long               0
1598  Long               0
1599  Long               0
1600  Long               0
1601  Long               0
1602  Long               0
1603  Long               0
1604  Long               0
1605  Long               0
1606  Long               0
1607  Long               0
1608  Long               0
1609  Long               0
1610  Long               0
1611  Long               0
1612  Long               0
1613  Long               0
1614  Long               0
1615  Long               0
1616  Long               0
1617  Long               0
1618  Long               0
1619  Long               0
1620  Long               0
1621  Long               0
1622  Long               0
1623  Long               0
1624  Long               0
1625  Long               0
1626  Long               0
1627  Long               0
1628  Long               0
1629  Long               0
1630  Long               0
1631  Long               0
1632  Long               0
1633  Long               0
1634  Long               0
1635  Long               0
1636  Long               0
1637  Long               0
1638  Long               0
1639  Long               0
1640  Long               0
1641  Long               0
1642  Long               0
1643  Long               0
1644  Long               0
1645  Long               0
1646  Long               0
1647  Long               0
1648  Long               0
1649  Long               0
1650  Long               0
1651  Long               0
1652  Long               0
1653  Long               0
1654  Long               0
1655  Long               0
1656  Long               0
1657  Long               0
1658  Long               0
1659  Long               0
1660  Long               0
1661  Long               0
1662  Long               0
1663  Long               0
1664  Long               0
1665  Long               0
1666  Long               0
1667  Long               0
1668  Long               0
1669  Long               0
1670  Long               0
1671  Long               0
1672  Long               0
1673  Long               0
1674  Long               0
1675  Long               0
1676  Long               0
1677  Long               0
1678  Long               0
1679  Long               0
1680  Long               0
1681  Long               0
1682  Long               0
1683  Long               0
1684  Long               0
1685  Long               0
1686  Long               0
1687  Long               0
1688  Long               0
1689  Long               0
1690  Long               0
1691  Long               0
1692  Long               0
1693  Long               0
1694  Long               0
1695  Long               0
1696  Long               0
1697  Long               0
1698  Long               0
1699  Long               0
1700  Long               0
1701  Long               0
1702  Long               0
1703  Long               0
1704  Long               0
1705  Long               0
1706  Long               0
1707  Long               0
1708  Long               0
1709  Long               0
1710  Long               0
1711  Long               0
1712  Long               0
1713  Long               0
1714  Long               0
1715  Long               0
1716  Long               0
1717  Long               0
1718  Long               0
